date,milestone,snapshot_path,faction,opponent,n_matches,wins,winrate,elo,notes
2026-05-26T00:00:00Z,BC-step0,brain:balanced,arcane,solo-defense-10wave,100,53,0.5300,,clone-source decision gate (single-side defense vs sim difficulty)
2026-05-26T00:00:00Z,BC-step0,brain:learning,arcane,solo-defense-10wave,100,100,1.0000,,clone-source decision gate; learning DOMINATES on arcane (+47%)
2026-05-26T00:00:00Z,BC-step0,brain:balanced,mechanical,solo-defense-10wave,100,84,0.8400,,clone-source decision gate
2026-05-26T00:00:00Z,BC-step0,brain:learning,mechanical,solo-defense-10wave,100,76,0.7600,,clone-source decision gate; learning slightly WORSE on mechanical (-8%)
# One row per (snapshot × opponent × faction). Long-format on purpose:
# - longitudinal view: filter by snapshot_path, sort by date
# - tournament view: filter by date+milestone, group by snapshot_path
# - per-faction skill: filter by faction
#
# Conventions:
#   date          ISO 8601 UTC, e.g. 2026-06-02T14:30:00Z
#   milestone     one of: G1, G2, BC, G3, G6, G4, G5, ad-hoc
#   snapshot_path repo-relative path to the .onnx (e.g. models/ppo-snapshots/run_a/iter_500.onnx)
#                 for non-PPO baselines: 'brain:balanced', 'brain:learning', 'brain:mazing', 'brain:bc'
#   faction       arcane | mechanical (G1-G5); add more if PRD scope changes
#   opponent      same shape as snapshot_path; the agent on the other side
#   n_matches     integer
#   wins          integer (from the snapshot's perspective)
#   winrate       wins / n_matches, 4 decimals
#   elo           computed by ml/elo.py from the SQLite DB at the time of this tournament
#   notes         free text; mention hyperparams, oddities, anything worth grepping later
#
# Example (do not commit fake data — delete before real entries land):
# 2026-06-02T14:30:00Z,G1,brain:balanced,arcane,brain:learning,1000,470,0.4700,1487,baseline tourney pre-G3

2026-05-26T19:35:01Z,BC-step5,models/bc-smoke.onnx,arcane,solo-defense-10wave,20,20,1.0000,,bc-smoke
2026-05-26T19:35:01Z,BC-step5,models/bc-smoke.onnx,mechanical,solo-defense-10wave,20,17,0.8500,,bc-smoke
2026-05-26T19:35:01Z,BC-step5,brain:random,arcane,solo-defense-10wave,20,0,0.0000,,bc-smoke
2026-05-26T19:35:01Z,BC-step5,brain:random,mechanical,solo-defense-10wave,20,0,0.0000,,bc-smoke
2026-05-26T19:35:01Z,BC-step5,brain:balanced,arcane,solo-defense-10wave,20,7,0.3500,,bc-smoke
